키워드,알림장 내용,유튜브 링크,유튜브 채널,시간(분)
장난감,작은 장난감은 입에 넣지 않고 가지고 놀기,https://www.youtube.com/watch?v=8_NO7R-jO-o&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=12,아이쿠,7
장난감,다 놀고 난 장난감은 상자에 정리하기,https://www.youtube.com/watch?v=qMN-d8p7eMY&list=PLIJBEbr4lvUYmxi45pvNmR6zwaE8bObVK&index=2,키드키즈넷,5
장마철,비가 많이 올 때는 웅덩이를 피해서 걷기,https://youtu.be/-Ft_BXS9RaM?si=VaRbKT0dDDvnAkxq,안전한TV,5
재난대피,위험할 때는 안내방송을 잘 듣고 대피하기,https://youtu.be/xEdwEdhh5iQ?si=73DLGTjbMVuzNhGo,안전한TV,4
전기,전선은 만지지 않고 눈으로만 보기,https://www.youtube.com/watch?v=x8QenIeUbmQ,우당탕탕은하안전단,11
전기,손에 물기가 있으면 전기 제품 만지지 않기,https://youtu.be/-cKhmBQHUqc?si=t5U5BDNKaVIIr2YF,안전한TV,2
전기,전기코드는 마른 손으로 안전하게 만지기,https://youtu.be/7579m5EAY4g?si=Ammvc2WIdJOL7t4M,안전한TV,5
전기장판,전기장판은 끄고 외출하는 습관 기르기,https://youtu.be/vwx0xIwj9q8?si=W-cYifnalEKQsM84,위기탈출넘버원,17
전기콘센트,젖은 손으로 콘센트를 만지면 위험해요,https://www.youtube.com/watch?v=ePDOsBhRzdk&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=5,아이쿠,7
주방,요리할 때는 뜨거우니 가까이 가지 않기,https://www.youtube.com/watch?v=JDBLLWAWqZk&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=23,아이쿠,7
주차장,주차장에서는 차 조심하며 부모님 손잡고 걷기,https://youtu.be/pvwsxralNgo?si=16NDsWkxBMPqgrD_,안전한TV,5
준비운동,운동하기 전에는 하나둘 준비운동 하기,https://www.youtube.com/watch?v=-CAycb2iYWk,우당탕탕은하안전단,11
중독사고,세제나 약품은 만지지 말고 어른 부르기,https://www.youtube.com/watch?v=OF9rkzN6P5s&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=38,아이쿠,7
지진,지진이 나면 책상 밑으로 쏙 들어가기,https://youtu.be/rIxkqyviUSo?si=PbVkgglANRRJ8Uk2,우당탕탕은하안전단,11
지진발생안전,흔들리면 식탁 밑에서 몸을 보호하기,https://www.youtube.com/watch?v=MYfF2SJ-4JE&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=29,아이쿠,7
지하철,지하철을 탈 때는 줄을 서서 차례 지키기,https://www.youtube.com/watch?v=YCAtmeC_v6I&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=41,아이쿠,7
질식,음식은 천천히 꼭꼭 씹어서 먹기,https://www.youtube.com/watch?v=jpJB-dFSN_g&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=18,아이쿠,7
찜질방-각막,찜질방에서는 눈을 감고 편안하게 쉬기,https://youtu.be/DJTuQViY4qw?si=cF6Ci_vFzohx-olQ,위기탈출넘버원,18
차량탑승,차에 타면 안전벨트부터 매는 멋진 어린이,https://www.youtube.com/watch?v=HKtfFdwU_UY&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=24,아이쿠,7
체육시간,체육 시간에는 선생님 말씀 잘 듣고 따라 하기,https://www.youtube.com/watch?v=8GwCv1SCxZk&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=15,안전한TV(켈리),4
추락,높은 곳에는 올라가지 않고 안전하게 놀기,https://www.youtube.com/watch?v=_vbVM7-oNjg&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=42,아이쿠,7
출혈,피가 나면 깨끗한 천으로 꾹 눌러주기,https://www.youtube.com/watch?v=ilqf3RJVk0E&list=PL_aDqVnBXelJXWaq3n7RMqsHEmM8Dafyf&index=5,서울소방,11
치아건강,밥 먹은 뒤에는 치카치카 양치질하기,https://www.youtube.com/watch?v=0oNncUrmxrc&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=34,아이쿠,7
캠핑,캠핑장에서는 불 조심하고 어른과 함께하기,https://youtu.be/c15BxH3IOkk?si=ga7jTXqBljsJZY79,우당탕탕은하안전단,11
캠핑,불 피우는 곳 근처에는 가지 않고 조심하기,https://youtu.be/gBpmWgQvg74?si=Ee1m_8qWy4d-2aJJ,안전한TV,5
킥보드,킥보드 탈 땐 헬멧 쓰고 차 없는 곳에서 타기,https://youtu.be/ERtaScdPUnU?si=9FOBRLQsz8i1x5F8,우당탕탕은하안전단,11
킥보드,킥보드는 안전한 공원에서 보호장비 하고 타기,https://youtu.be/FDIMEZCMTEU?si=4-yIMUgtTf5savA0,안전한TV,4
태풍,태풍이 오면 외출을 자제하고 집에서 안전하게,https://youtu.be/97ZgY-J0wqg?si=VUwE9T46P-Dz-M-b,위기탈출넘버원,20
태풍,바람이 많이 불면 창문을 닫고 집 안에 있기,https://www.youtube.com/watch?v=d5em7esHKtE&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=18,안전한TV(켈리),6
태풍,비바람이 칠 때는 밖에 나가지 말고 집에 있기,https://youtu.be/fPyKtIcezZ0?si=UuVJb-QpvFLBYCD-,안전한TV,9
태풍,태풍 소식이 있으면 가족들과 함께 집에 머물기,https://youtu.be/lBjKZ2MScHI?si=zDHagxUCtRgRde1x,안전한TV,11
태풍유리창,태풍이 불 땐 창문에서 멀리 떨어져 있기,https://youtu.be/tRlLyYeLNu8?si=7uUmmKlFU2Ss97sh,위기탈출넘버원,17
폭염,너무 더운 날엔 시원한 물 마시고 쉬어가기,https://youtu.be/nScz_Ju-_XE?si=oP1zwkuPnnYBEYDs,안전한TV,7
폭염,실내 온도를 시원하게 유지하고 건강 지키기,https://youtu.be/WvYiFoiDyug?si=rWTAF-kPqfmFaRm1,안전한TV,6
폭염,해가 쨍쨍한 낮에는 그늘에서 잠시 쉬기,https://youtu.be/0gu2fw06qdY?si=Q-rgHN5QNp-NwwZI,안전한TV,5
피겨스케이트,넘어질 때는 엉덩이부터 쿵 안전하게 넘어지기,https://www.youtube.com/watch?v=jilFu4otJhQ&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=27,아이쿠,7
하임리히법,음식이 목에 걸리면 빨리 어른에게 알리기,https://youtu.be/R1prrAV1Yi4?si=FnxJXexDIL_oKh2q,안전한TV,2
학교/공공안전,복도에서는 뛰지 말고 사뿐사뿐 걷기,https://www.youtube.com/watch?v=OpcaCuDdNts&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=22,아이쿠,7
학교안전,교실 안에서는 친구와 부딪히지 않게 조심하기,https://www.youtube.com/watch?v=0p4MSvKlmz8&list=PL_aDqVnBXelJXWaq3n7RMqsHEmM8Dafyf&index=9,서울소방,17
학교폭력,친구와 사이좋게 지내고 고운 말 쓰기,https://www.youtube.com/watch?v=ABv8dK5YV_U&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=47,아이쿠,7
학교폭력,친구를 배려하고 따뜻한 마음 나누기,https://www.youtube.com/watch?v=u7_wqbnETOQ&list=PLJoQWxBGOmBa0y76rhI1FE8osODr8gWSP,초등백과(동물의숲),2
학교폭력,친구에게 상처 주지 않고 친절하게 대하기,https://www.youtube.com/watch?v=fMSVPiGQEmU,초등백과,9
학교폭력,서로를 존중하며 즐거운 학교생활 하기,https://www.youtube.com/watch?v=fMSVPiGQEmU&list=PLJoQWxBGOmBZj2_CkKoYVt3gAMGZJaDRY&index=26,초등백과,9
학교폭력,고민이 있으면 선생님과 부모님께 이야기하기,https://www.youtube.com/watch?v=UnQa9nTDeBU,KEDI TV<한국교육개발원>,6
학교폭력,힘든 친구를 보면 모른 척하지 않고 도와주기,https://www.youtube.com/watch?v=-IiZ2C7Eq3w,충북영동TV,4
학교폭력(신체),친구와 장난칠 때는 서로 다치지 않게 조심하기,https://www.youtube.com/watch?v=kdNUiJYfbCY&list=PLMWDl1g2ix4S5o-pykFZOGFshyb1ibGuZ,teacher kim(드라마),3
학폭신고,친구가 괴롭힘당하면 선생님께 몰래 알려주기,https://www.youtube.com/watch?v=C3C3j4JqQ-Q&list=PLJoQWxBGOmBa0y76rhI1FE8osODr8gWSP&index=10,초등백과(동물의숲),2
한랭질환,추운 날에는 옷을 여러 겹 입고 따뜻하게,https://www.youtube.com/watch?v=ObWYxq6T7e4,안전한TV,3
한파,장갑과 모자로 따뜻하게 무장하고 외출하기,https://youtu.be/QA8JBvMTSjQ?si=oVQCnvwDd9JtuZk5,우당탕탕은하안전단,11
해빙기,얼음이 녹는 봄에는 얼음 위로 가지 않기,https://www.youtube.com/watch?v=j92MTXB9hek&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=4,안전한TV(켈리),4
헬륨가스,헬륨가스는 마시지 말고 풍선에만 넣기,https://www.youtube.com/watch?v=4lGVBhykdN0&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=24,안전한TV(켈리),4
혀 잘림,딱딱한 얼음은 깨물지 말고 녹여 먹기,https://youtu.be/fAsEkui1SDY?si=rEkd68YaOgSMeBim,위기탈출넘버원,17
현장학습,현장학습 가면 선생님 말씀을 잘 따르기,https://www.youtube.com/watch?v=FwJ_J4a07dU&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=10,안전한TV(켈리),5
호우,비가 많이 오면 개울가 근처에는 가지 않기,https://youtu.be/mwh7pxaV1Y8?si=UGZ5NPoQbWvqYBv7,안전한TV,7
홍수태풍,비바람이 심할 때는 집 안에서 안전하게 놀기,https://youtu.be/MNheYh_6uAY?si=p32GuIJ36c3_3PmV,우당탕탕은하안전단,11
화산폭발,먼지가 많을 때는 마스크 쓰고 실내에 있기,https://youtu.be/euUY6r82uyI?si=T5dHggNo25J2VLP6,안전한TV,4
화상,뜨거운 물은 어른이 사용하도록 비켜주기,https://www.youtube.com/watch?v=NAAtxz50yd4&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=51,아이쿠,7
화재,불이 났을 때는 큰 소리로 불이야 외치기,https://www.youtube.com/watch?v=IIDhhV-CeiI&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=33,아이쿠,7
화재,연기가 나면 코와 입을 막고 밖으로 대피하기,https://www.youtube.com/watch?v=jou3Oz-T0W0&list=PL_aDqVnBXelJXWaq3n7RMqsHEmM8Dafyf&index=8,서울소방,13
화재,불이 나면 낮은 자세로 빠르게 탈출하기,https://youtu.be/U3RpUPGQ5Qc?si=CrgKzCQ14iINEqdV,안전한TV,6
화재,전기 제품을 쓴 뒤에는 코드를 꼭 뽑기,https://youtu.be/YZlIuw45364?si=xj688VyaXzGi7_jj,안전한TV,3
화재,대피할 때는 엘리베이터 말고 계단 이용하기,https://www.youtube.com/watch?v=yQ7KuQjnYtU&list=PLJoQWxBGOmBZj2_CkKoYVt3gAMGZJaDRY&index=24,초등백과,5
환경보호,나무와 꽃을 꺾지 않고 사랑해주기,https://youtu.be/2Igi9Uq88b8?si=f6VwDAuz52zsijAW,우당탕탕은하안전단,11
환경오염,쓰레기는 분리수거해서 깨끗하게 버리기,https://www.youtube.com/watch?v=gYN4gwDLlOA&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=46,아이쿠,7
환절기기,날씨가 변할 땐 옷을 잘 챙겨 입기,https://www.youtube.com/watch?v=cAaNg6RV_TU&list=PLJuUHedy_S4-JsPjH6X7Wielj-nqzaItn&index=7,안전한TV(켈리),7
회전문,회전문에서는 장난치지 않고 천천히 지나가기,https://www.youtube.com/watch?v=9mpV6YnuXxc&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=39,아이쿠,7
횡단보도,초록불에 손을 들고 씩씩하게 건너기,https://www.youtube.com/watch?v=hulDFHBkBBU&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=3,아이쿠,7
횡단보도,자동차가 멈췄는지 확인하고 건너기,https://www.youtube.com/watch?v=NYJWv2i7wcQ&list=PLawdY97HdndRbvRd1YWw_D8rWGbIl6tzQ&index=10,뽀로로,11
TV시청,텔레비전은 멀리 떨어져서 바른 자세로 보기,https://www.youtube.com/watch?v=IUqbF9Ij580&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=44,아이쿠,7
TV안전,텔레비전에는 매달리거나 올라가지 않기,https://youtu.be/zmmr2ANtQZo?si=B6_yxgOv6sHNHzlz,우당탕탕은하안전단,11
유괴예방,모르는 사람이 같이 가자고 하면 싫어요 외치기,https://www.youtube.com/watch?v=ieN8VSJW2t8&list=PLxg0W84g7GWavuSMx7Jr8P8cWoOOdBhD9&index=10,아이쿠,7
놀이터,놀이기구는 차례차례 질서 지켜서 타기,https://www.youtube.com/watch?v=kzhgytmovj0,우당탕탕은하안전단,11
유괴예방,길을 잃으면 경찰관이나 가게에 도움 요청하기,https://www.youtube.com/watch?v=auvh_Jwv-qY,우당탕탕은하안전단,11
손씻기,화장실 다녀온 뒤에는 비누로 손 씻기,https://www.youtube.com/watch?v=iC7WDV54w8c,우당탕탕은하안전단,11
화재,불이 나면 숨지 말고 빨리 밖으로 대피하기,https://www.youtube.com/watch?v=8uBnfyou30U,우당탕탕은하안전단,11
준비운동,운동 전에는 쭉쭉 스트레칭하기,https://www.youtube.com/watch?v=tbvTEfgb-lY,우당탕탕은하안전단,11
장난감,장난감은 친구에게 던지지 않고 사이좋게 놀기,https://www.youtube.com/watch?v=_3_AqcvAtzY,우당탕탕은하안전단,11
버스,버스 안에서는 자리에 얌전히 앉아 있기,https://www.youtube.com/watch?v=3lbVKtksjU8,우당탕탕은하안전단,11
인터넷,인터넷에서 내 이름과 전화번호는 비밀로 하기,https://www.youtube.com/watch?v=GvpKDlXF5is,우당탕탕은하안전단,11
주방,부엌에는 위험한 물건이 많으니 조심하기,https://www.youtube.com/watch?v=jHO3OnocTsM,우당탕탕은하안전단,11
약물,약은 꼭 부모님이나 의사 선생님께 여쭤보기,https://www.youtube.com/watch?v=_DHhQVF1fPY,우당탕탕은하안전단,11
식품,건강하고 신선한 음식만 골라서 먹기,https://www.youtube.com/watch?v=iNJFaQqcq68,우당탕탕은하안전단,11
물놀이,수영장에서는 미끄러우니 조심조심 걷기,https://www.youtube.com/watch?v=NHDJYTdp_iA,우당탕탕은하안전단,11
지하철,지하철에서는 노란 선 뒤에서 안전하게 기다리기,https://www.youtube.com/watch?v=fHY5xariPho,우당탕탕은하안전단,11
욕실,욕실에서는 뛰지 않고 천천히 걷기,https://www.youtube.com/watch?v=_TtqKLhNNJQ,우당탕탕은하안전단,11
어린이권,친구의 마음도 내 마음처럼 소중하게 대하기,https://www.youtube.com/watch?v=CPjpwQbhtbc,우당탕탕은하안전단,11
교실,교실에서는 큰 소리 내지 않고 조용히 말하기,https://www.youtube.com/watch?v=MDymU7AzOO4,우당탕탕은하안전단,11
식물,공원에 있는 식물은 눈으로만 예뻐해 주기,https://www.youtube.com/watch?v=BL4-ie5Y8BU,우당탕탕은하안전단,11
자동차신호,초록불이어도 차가 멈췄는지 꼭 확인하기,https://youtu.be/yqf_fijzo-Q?si=31xzs1uIp51QGwgX,우당탕탕은하안전단,11
식중독,여름에는 음식을 냉장고에 보관하고 잘 익혀 먹기,https://youtu.be/LYFOuH6RHCI?si=GjqwWCfLTnQ_WeAK,우당탕탕은하안전단,11
승강기,문이 닫힐 때는 무리해서 타지 않고 다음 것 타기,https://youtu.be/-riHfs5AlTQ?si=k4-eQtdc8iv-PMps,우당탕탕은하안전단,11
약,알약은 사탕이 아니니 함부로 먹지 않기,https://www.youtube.com/watch?v=Oyaf04ySXFo&list=PLIJBEbr4lvUYmxi45pvNmR6zwaE8bObVK&index=6,키드키즈넷,5
화재,라이터는 위험하니 절대 만지지 않기,https://www.youtube.com/watch?v=UNg2QyQ7fTY&list=PL_aDqVnBXelJXWaq3n7RMqsHEmM8Dafyf,서울소방,13
지진,지진이 나면 머리를 보호하고 책상 밑으로 숨기,https://www.youtube.com/watch?v=ZwH8O4y-YbI&list=PL_aDqVnBXelJXWaq3n7RMqsHEmM8Dafyf&index=3,서울소방,9
화상,뜨거운 물에 데었을 땐 찬물로 식혀주기,https://www.youtube.com/watch?v=mu9g3CCBKhQ&list=PL_aDqVnBXelJXWaq3n7RMqsHEmM8Dafyf&index=4,서울소방,10
캠핑,캠핑장에서 불 피울 땐 항상 어른과 함께하기,https://www.youtube.com/watch?v=mCSBPE0OVvk&list=PL_aDqVnBXelJXWaq3n7RMqsHEmM8Dafyf&index=11,서울소방,15
